Order ID,Order Date,Customer ID
54-366-6861,2020-06-15,72-055-7985
63-761-3686,2020-08-25,65-353-0657
65-351-6434,2021-08-17,90-876-6799
36-917-2834,2021-08-14,73-873-4827
86-114-9232,2020-12-20,80-927-5246
67-709-5581,2020-03-01,77-111-2020
80-076-4032,2021-10-04,10-341-4047
56-271-4185,2021-10-09,83-800-4789
43-052-9931,2021-12-27,89-896-4591
15-663-0481,2020-03-05,21-282-1343
23-582-1221,2019-07-20,04-699-2162
61-057-1975,2022-06-26,72-013-3529
87-599-0366,2020-12-03,09-688-8521
85-795-3011,2022-04-13,08-390-4691
08-270-7581,2020-08-22,56-479-7571
05-410-4163,2020-09-30,75-558-6855
82-639-1298,2019-09-04,09-710-7305
81-875-5053,2021-04-29,81-678-3234
69-780-6998,2020-04-14,83-988-2186
45-989-0711,2020-04-24,66-386-4902
10-052-8149,2019-09-30,37-285-0504
87-988-3093,2021-06-08,07-111-7669
04-812-8753,2020-06-01,84-136-7752
56-331-9919,2021-11-03,72-417-9175
35-371-2486,2020-02-02,79-082-9805
24-714-2660,2019-09-13,24-545-1124
00-465-7031,2020-08-25,84-300-6499
01-975-7149,2021-04-22,93-913-0650
92-747-8084,2019-08-09,91-251-5721
81-819-6997,2022-04-12,04-960-9928
48-370-5933,2022-01-28,35-042-6593
87-939-7467,2021-04-02,45-879-0850
20-205-9814,2021-11-23,78-492-1244
37-563-3518,2022-04-05,87-172-1004
35-988-0040,2019-08-10,55-516-2272
60-197-5739,2022-02-27,79-227-9821
36-383-1600,2019-08-08,87-811-2475
61-096-3317,2022-05-04,97-003-2495
30-867-3284,2020-10-05,26-631-4044
29-601-2712,2021-01-27,07-925-9556
28-387-3547,2019-08-14,18-296-6063
33-596-6321,2021-11-25,26-237-6257
48-873-2607,2019-09-29,77-064-4656
46-671-2432,2022-04-13,29-631-4932
67-067-9693,2020-12-10,04-268-9065
94-148-7497,2022-11-19,06-545-4037
90-921-1904,2021-08-16,82-278-5664
87-546-5058,2021-06-13,19-112-3031
25-522-2006,2021-02-02,58-749-9630
69-765-1585,2022-03-07,60-238-7059
17-146-9681,2022-12-02,03-575-7094
76-063-7709,2019-12-16,83-465-8495
39-647-4894,2022-05-27,97-122-0077
84-561-9421,2020-03-29,44-106-8726
08-152-8962,2021-01-12,75-652-8475
83-499-1350,2022-08-12,66-683-1761
39-613-0627,2022-03-27,18-238-2784
56-545-1829,2022-02-15,14-427-0652
