Orderdetail_id,Order ID,product_id,Quantity
1,00-008-3271,18,2
2,00-008-3271,18,2
3,00-008-3271,18,2
4,00-008-3271,18,2
5,00-008-3271,18,2
6,00-008-3271,18,2
7,00-008-3271,18,2
8,00-008-3271,18,2
9,00-008-3271,18,2
10,00-008-3271,18,2
11,00-008-3271,18,2
12,00-008-3271,18,2
13,00-008-3271,18,2
14,00-008-3271,18,2
15,00-008-3271,18,2
16,00-008-3271,18,2
17,00-008-3271,18,2
18,00-008-3271,18,2
19,00-008-3271,18,2
20,00-008-3271,18,2
21,00-008-3271,18,2
22,00-283-3544,13,2
23,00-283-3544,13,2
24,00-283-3544,13,2
25,00-283-3544,13,2
26,00-283-3544,13,2
27,00-283-3544,13,2
28,00-283-3544,13,2
29,00-283-3544,13,2
30,00-283-3544,13,2
31,00-283-3544,13,2
32,00-283-3544,13,2
33,00-283-3544,13,2
34,00-283-3544,13,2
35,00-283-3544,13,2
36,00-283-3544,13,2
37,00-283-3544,13,2
38,00-283-3544,13,2
39,00-283-3544,13,2
40,00-283-3544,13,2
41,00-283-3544,13,2
42,00-283-3544,13,2
43,00-350-1396,53,1
44,00-350-1396,53,1
45,00-350-1396,53,1
46,00-350-1396,53,1
47,00-350-1396,53,1
48,00-350-1396,53,1
49,00-350-1396,53,1
50,00-350-1396,53,1
51,00-350-1396,53,1
52,00-350-1396,53,1
53,00-350-1396,53,1
54,00-350-1396,53,1
55,00-350-1396,53,1
56,00-350-1396,53,1
57,00-350-1396,53,1
58,00-350-1396,53,1
59,00-350-1396,53,1
60,00-350-1396,53,1
61,00-350-1396,53,1
62,00-350-1396,53,1
63,00-350-1396,53,1
64,00-451-8857,23,1
65,00-451-8857,23,1
66,00-451-8857,23,1
67,00-451-8857,23,1
68,00-451-8857,23,1
69,00-451-8857,23,1
70,00-451-8857,23,1
71,00-451-8857,23,1
72,00-451-8857,23,1
73,00-451-8857,23,1
74,00-451-8857,23,1
75,00-451-8857,23,1
76,00-451-8857,23,1
77,00-451-8857,23,1
78,00-451-8857,23,1
79,00-451-8857,23,1
80,00-451-8857,23,1
81,00-451-8857,23,1
82,00-451-8857,23,1
83,00-451-8857,23,1
84,00-451-8857,23,1
85,00-465-7031,28,3
86,00-465-7031,28,3
87,00-465-7031,28,3
88,00-465-7031,28,3
89,00-465-7031,28,3
90,00-465-7031,28,3
91,00-465-7031,28,3
92,00-465-7031,28,3
93,00-465-7031,28,3
94,00-465-7031,28,3
95,00-465-7031,28,3
96,00-465-7031,28,3
97,00-465-7031,28,3
98,00-465-7031,28,3
99,00-465-7031,28,3
100,00-465-7031,28,3
101,00-465-7031,28,3
102,00-465-7031,28,3
103,00-465-7031,28,3
104,00-465-7031,28,3
105,00-465-7031,28,3
106,00-618-9205,64,3
107,00-618-9205,64,3
108,00-618-9205,64,3
109,00-618-9205,64,3
110,00-618-9205,64,3
111,00-618-9205,64,3
112,00-618-9205,64,3
113,00-618-9205,64,3
114,00-618-9205,64,3
115,00-618-9205,64,3
116,00-618-9205,64,3
117,00-618-9205,64,3
118,00-618-9205,64,3
119,00-618-9205,64,3
120,00-618-9205,64,3
121,00-618-9205,64,3
122,00-618-9205,64,3
123,00-618-9205,64,3
124,00-618-9205,64,3
125,00-618-9205,64,3
126,00-618-9205,64,3
127,00-669-6040,38,2
128,00-669-6040,38,2
129,00-669-6040,38,2
130,00-669-6040,38,2
131,00-669-6040,38,2
132,00-669-6040,38,2
133,00-669-6040,38,2
134,00-669-6040,38,2
135,00-669-6040,38,2
136,00-669-6040,38,2
137,00-669-6040,38,2
138,00-669-6040,38,2
139,00-669-6040,38,2
140,00-669-6040,38,2
141,00-669-6040,38,2
142,00-669-6040,38,2
143,00-669-6040,38,2
144,00-669-6040,38,2
145,00-669-6040,38,2
146,00-669-6040,38,2
147,00-669-6040,38,2
148,00-799-3091,68,3
149,00-799-3091,68,3
150,00-799-3091,68,3
151,00-799-3091,68,3
152,00-799-3091,68,3
153,00-799-3091,68,3
154,00-799-3091,68,3
155,00-799-3091,68,3
156,00-799-3091,68,3
157,00-799-3091,68,3
158,00-799-3091,68,3
159,00-799-3091,68,3
160,00-799-3091,68,3
161,00-799-3091,68,3
162,00-799-3091,68,3
163,00-799-3091,68,3
164,00-799-3091,68,3
165,00-799-3091,68,3
166,00-799-3091,68,3
167,00-799-3091,68,3
168,00-799-3091,68,3
169,00-822-8333,71,3
170,00-822-8333,71,3
171,00-822-8333,71,3
172,00-822-8333,71,3
173,00-822-8333,71,3
174,00-822-8333,71,3
175,00-822-8333,71,3
176,00-822-8333,71,3
177,00-822-8333,71,3
178,00-822-8333,71,3
179,00-822-8333,71,3
180,00-822-8333,71,3
181,00-822-8333,71,3
182,00-822-8333,71,3
183,00-822-8333,71,3
184,00-822-8333,71,3
185,00-822-8333,71,3
186,00-822-8333,71,3
187,00-822-8333,71,3
188,00-822-8333,71,3
189,00-822-8333,71,3
190,00-965-9450,6,2
191,00-965-9450,6,2
192,00-965-9450,6,2
193,00-965-9450,6,2
194,00-965-9450,6,2
195,00-965-9450,6,2
196,00-965-9450,6,2
197,00-965-9450,6,2
198,00-965-9450,6,2
199,00-965-9450,6,2
200,00-965-9450,6,2
201,00-965-9450,6,2
202,00-965-9450,6,2
203,00-965-9450,6,2
204,00-965-9450,6,2
205,00-965-9450,6,2
206,00-965-9450,6,2
207,00-965-9450,6,2
208,00-965-9450,6,2
209,00-965-9450,6,2
210,00-965-9450,6,2
211,01-062-3384,25,1
212,01-062-3384,25,1
213,01-062-3384,25,1
214,01-062-3384,25,1
215,01-062-3384,25,1
216,01-062-3384,25,1
217,01-062-3384,25,1
218,01-062-3384,25,1
219,01-062-3384,25,1
220,01-062-3384,25,1
221,01-062-3384,25,1
222,01-062-3384,25,1
223,01-062-3384,25,1
224,01-062-3384,25,1
225,01-062-3384,25,1
226,01-062-3384,25,1
227,01-062-3384,25,1
228,01-062-3384,25,1
229,01-062-3384,25,1
230,01-062-3384,25,1
231,01-062-3384,25,1
232,01-423-8434,24,3
233,01-423-8434,24,3
234,01-423-8434,24,3
235,01-423-8434,24,3
236,01-423-8434,24,3
237,01-423-8434,24,3
238,01-423-8434,24,3
239,01-423-8434,24,3
240,01-423-8434,24,3
241,01-423-8434,24,3
242,01-423-8434,24,3
243,01-423-8434,24,3
244,01-423-8434,24,3
245,01-423-8434,24,3
246,01-423-8434,24,3
247,01-423-8434,24,3
248,01-423-8434,24,3
249,01-423-8434,24,3
250,01-423-8434,24,3
251,01-423-8434,24,3
252,01-423-8434,24,3
253,01-715-3869,31,3
254,01-715-3869,31,3
255,01-715-3869,31,3
256,01-715-3869,31,3
257,01-715-3869,31,3
258,01-715-3869,31,3
259,01-715-3869,31,3
260,01-715-3869,31,3
261,01-715-3869,31,3
262,01-715-3869,31,3
263,01-715-3869,31,3
264,01-715-3869,31,3
265,01-715-3869,31,3
266,01-715-3869,31,3
267,01-715-3869,31,3
268,01-715-3869,31,3
269,01-715-3869,31,3
270,01-715-3869,31,3
271,01-715-3869,31,3
272,01-715-3869,31,3
273,01-715-3869,31,3
274,01-733-5889,36,1
275,01-733-5889,36,1
276,01-733-5889,36,1
277,01-733-5889,36,1
278,01-733-5889,36,1
279,01-733-5889,36,1
280,01-733-5889,36,1
281,01-733-5889,36,1
282,01-733-5889,36,1
283,01-733-5889,36,1
284,01-733-5889,36,1
285,01-733-5889,36,1
286,01-733-5889,36,1
287,01-733-5889,36,1
288,01-733-5889,36,1
289,01-733-5889,36,1
290,01-733-5889,36,1
291,01-733-5889,36,1
292,01-733-5889,36,1
293,01-733-5889,36,1
294,01-733-5889,36,1
295,01-754-7255,1,2
296,01-754-7255,1,2
297,01-754-7255,1,2
298,01-754-7255,1,2
299,01-754-7255,1,2
300,01-754-7255,1,2
301,01-754-7255,1,2
302,01-754-7255,1,2
303,01-754-7255,1,2
304,01-754-7255,1,2
305,01-754-7255,1,2
306,01-754-7255,1,2
307,01-754-7255,1,2
308,01-754-7255,1,2
309,01-754-7255,1,2
310,01-754-7255,1,2
311,01-754-7255,1,2
312,01-754-7255,1,2
313,01-754-7255,1,2
314,01-754-7255,1,2
315,01-754-7255,1,2
316,01-855-8188,20,3
317,01-855-8188,20,3
318,01-855-8188,20,3
319,01-855-8188,20,3
320,01-855-8188,20,3
321,01-855-8188,20,3
322,01-855-8188,20,3
323,01-855-8188,20,3
324,01-855-8188,20,3
325,01-855-8188,20,3
326,01-855-8188,20,3
327,01-855-8188,20,3
328,01-855-8188,20,3
329,01-855-8188,20,3
330,01-855-8188,20,3
331,01-855-8188,20,3
332,01-855-8188,20,3
333,01-855-8188,20,3
334,01-855-8188,20,3
335,01-855-8188,20,3
336,01-855-8188,20,3
337,01-877-6020,42,2
338,01-877-6020,42,2
339,01-877-6020,42,2
340,01-877-6020,42,2
341,01-877-6020,42,2
342,01-877-6020,42,2
343,01-877-6020,42,2
344,01-877-6020,42,2
345,01-877-6020,42,2
346,01-877-6020,42,2
347,01-877-6020,42,2
348,01-877-6020,42,2
349,01-877-6020,42,2
350,01-877-6020,42,2
351,01-877-6020,42,2
352,01-877-6020,42,2
353,01-877-6020,42,2
354,01-877-6020,42,2
355,01-877-6020,42,2
356,01-877-6020,42,2
357,01-877-6020,42,2
358,01-879-8004,68,3
359,01-879-8004,68,3
360,01-879-8004,68,3
361,01-879-8004,68,3
362,01-879-8004,68,3
363,01-879-8004,68,3
364,01-879-8004,68,3
365,01-879-8004,68,3
366,01-879-8004,68,3
367,01-879-8004,68,3
368,01-879-8004,68,3
369,01-879-8004,68,3
370,01-879-8004,68,3
371,01-879-8004,68,3
372,01-879-8004,68,3
373,01-879-8004,68,3
374,01-879-8004,68,3
375,01-879-8004,68,3
376,01-879-8004,68,3
377,01-879-8004,68,3
378,01-879-8004,68,3
379,01-975-7149,60,3
380,01-975-7149,60,3
381,01-975-7149,60,3
382,01-975-7149,60,3
383,01-975-7149,60,3
384,01-975-7149,60,3
385,01-975-7149,60,3
386,01-975-7149,60,3
387,01-975-7149,60,3
388,01-975-7149,60,3
389,01-975-7149,60,3
390,01-975-7149,60,3
391,01-975-7149,60,3
392,01-975-7149,60,3
393,01-975-7149,60,3
394,01-975-7149,60,3
395,01-975-7149,60,3
396,01-975-7149,60,3
397,01-975-7149,60,3
398,01-975-7149,60,3
399,01-975-7149,60,3
400,01-981-5069,13,2
401,01-981-5069,13,2
402,01-981-5069,13,2
403,01-981-5069,13,2
404,01-981-5069,13,2
405,01-981-5069,13,2
406,01-981-5069,13,2
407,01-981-5069,13,2
408,01-981-5069,13,2
409,01-981-5069,13,2
410,01-981-5069,13,2
411,01-981-5069,13,2
412,01-981-5069,13,2
413,01-981-5069,13,2
414,01-981-5069,13,2
415,01-981-5069,13,2
416,01-981-5069,13,2
417,01-981-5069,13,2
418,01-981-5069,13,2
419,01-981-5069,13,2
420,01-981-5069,13,2
421,02-211-2785,24,3
422,02-211-2785,24,3
423,02-211-2785,24,3
424,02-211-2785,24,3
425,02-211-2785,24,3
426,02-211-2785,24,3
427,02-211-2785,24,3
428,02-211-2785,24,3
429,02-211-2785,24,3
430,02-211-2785,24,3
431,02-211-2785,24,3
432,02-211-2785,24,3
433,02-211-2785,24,3
434,02-211-2785,24,3
435,02-211-2785,24,3
436,02-211-2785,24,3
437,02-211-2785,24,3
438,02-211-2785,24,3
439,02-211-2785,24,3
440,02-211-2785,24,3
441,02-211-2785,24,3
442,02-266-1313,15,2
443,02-266-1313,15,2
444,02-266-1313,15,2
445,02-266-1313,15,2
446,02-266-1313,15,2
447,02-266-1313,15,2
448,02-266-1313,15,2
449,02-266-1313,15,2
450,02-266-1313,15,2
451,02-266-1313,15,2
452,02-266-1313,15,2
453,02-266-1313,15,2
454,02-266-1313,15,2
455,02-266-1313,15,2
456,02-266-1313,15,2
457,02-266-1313,15,2
458,02-266-1313,15,2
459,02-266-1313,15,2
460,02-266-1313,15,2
461,02-266-1313,15,2
462,02-266-1313,15,2
463,02-311-4674,47,1
464,02-311-4674,47,1
465,02-311-4674,47,1
466,02-311-4674,47,1
467,02-311-4674,47,1
468,02-311-4674,47,1
469,02-311-4674,47,1
470,02-311-4674,47,1
471,02-311-4674,47,1
472,02-311-4674,47,1
473,02-311-4674,47,1
474,02-311-4674,47,1
475,02-311-4674,47,1
476,02-311-4674,47,1
477,02-311-4674,47,1
478,02-311-4674,47,1
479,02-311-4674,47,1
480,02-311-4674,47,1
481,02-311-4674,47,1
482,02-311-4674,47,1
483,02-311-4674,47,1
484,02-569-3156,51,1
485,02-569-3156,51,1
486,02-569-3156,51,1
487,02-569-3156,51,1
488,02-569-3156,51,1
489,02-569-3156,51,1
490,02-569-3156,51,1
491,02-569-3156,51,1
492,02-569-3156,51,1
493,02-569-3156,51,1
494,02-569-3156,51,1
495,02-569-3156,51,1
496,02-569-3156,51,1
497,02-569-3156,51,1
498,02-569-3156,51,1
499,02-569-3156,51,1
500,02-569-3156,51,1
501,02-569-3156,51,1
502,02-569-3156,51,1
503,02-569-3156,51,1
504,02-569-3156,51,1
505,02-699-8406,30,2
506,02-699-8406,30,2
507,02-699-8406,30,2
508,02-699-8406,30,2
509,02-699-8406,30,2
510,02-699-8406,30,2
511,02-699-8406,30,2
512,02-699-8406,30,2
513,02-699-8406,30,2
514,02-699-8406,30,2
515,02-699-8406,30,2
516,02-699-8406,30,2
517,02-699-8406,30,2
518,02-699-8406,30,2
519,02-699-8406,30,2
520,02-699-8406,30,2
521,02-699-8406,30,2
522,02-699-8406,30,2
523,02-699-8406,30,2
524,02-699-8406,30,2
525,02-699-8406,30,2
526,02-715-2965,52,3
527,02-715-2965,52,3
528,02-715-2965,52,3
529,02-715-2965,52,3
530,02-715-2965,52,3
531,02-715-2965,52,3
532,02-715-2965,52,3
533,02-715-2965,52,3
534,02-715-2965,52,3
535,02-715-2965,52,3
536,02-715-2965,52,3
537,02-715-2965,52,3
538,02-715-2965,52,3
539,02-715-2965,52,3
540,02-715-2965,52,3
541,02-715-2965,52,3
542,02-715-2965,52,3
543,02-715-2965,52,3
544,02-715-2965,52,3
545,02-715-2965,52,3
546,02-715-2965,52,3
547,02-732-6800,40,3
548,02-732-6800,40,3
549,02-732-6800,40,3
550,02-732-6800,40,3
551,02-732-6800,40,3
552,02-732-6800,40,3
553,02-732-6800,40,3
554,02-732-6800,40,3
555,02-732-6800,40,3
556,02-732-6800,40,3
557,02-732-6800,40,3
558,02-732-6800,40,3
559,02-732-6800,40,3
560,02-732-6800,40,3
561,02-732-6800,40,3
562,02-732-6800,40,3
563,02-732-6800,40,3
564,02-732-6800,40,3
565,02-732-6800,40,3
566,02-732-6800,40,3
567,02-732-6800,40,3
568,02-938-1657,37,1
569,02-938-1657,37,1
570,02-938-1657,37,1
571,02-938-1657,37,1
572,02-938-1657,37,1
573,02-938-1657,37,1
574,02-938-1657,37,1
575,02-938-1657,37,1
576,02-938-1657,37,1
577,02-938-1657,37,1
578,02-938-1657,37,1
579,02-938-1657,37,1
580,02-938-1657,37,1
