sales_id,oderdetail_id,Order ID, Cost,Sales
1,1,00-008-3271,310,465
2,2,00-008-3271,91.84,137.76
3,3,00-008-3271,320,480
4,4,00-008-3271,93.13,139.695
5,5,00-008-3271,75,112.5
6,6,00-008-3271,144.09,216.135
7,7,00-008-3271,125,187.5
8,8,00-008-3271,168.27,252.405
9,9,00-008-3271,69.38,104.07
10,10,00-008-3271,190,285
11,11,00-008-3271,52.08,78.12
12,12,00-008-3271,310,465
13,13,00-008-3271,91.84,137.76
14,14,00-008-3271,320,480
15,15,00-008-3271,93.13,139.695
16,16,00-008-3271,75,112.5
17,17,00-008-3271,144.09,216.135
18,18,00-008-3271,125,187.5
19,19,00-008-3271,168.27,252.405
20,20,00-008-3271,69.38,104.07
21,21,00-008-3271,190,285
22,22,00-283-3544,69.38,104.07
23,23,00-283-3544,190,285
24,24,00-283-3544,52.08,78.12
25,25,00-283-3544,310,465
26,26,00-283-3544,91.84,137.76
27,27,00-283-3544,320,480
28,28,00-283-3544,93.13,139.695
29,29,00-283-3544,75,112.5
30,30,00-283-3544,144.09,216.135
31,31,00-283-3544,125,187.5
32,32,00-283-3544,168.27,252.405
33,33,00-283-3544,69.38,104.07
34,34,00-283-3544,190,285
35,35,00-283-3544,52.08,78.12
36,36,00-283-3544,310,465
37,37,00-283-3544,91.84,137.76
38,38,00-283-3544,320,480
39,39,00-283-3544,93.13,139.695
40,40,00-283-3544,75,112.5
41,41,00-283-3544,144.09,216.135
42,42,00-283-3544,125,187.5
43,43,00-350-1396,83.99,125.985
44,44,00-350-1396,225,337.5
45,45,00-350-1396,133.17,199.755
46,46,00-350-1396,210,315
47,47,00-350-1396,44.57,66.855
48,48,00-350-1396,220,330
49,49,00-350-1396,101.6,152.4
50,50,00-350-1396,235,352.5
51,51,00-350-1396,124.62,186.93
52,52,00-350-1396,119.8,179.7
53,53,00-350-1396,98,147
54,54,00-350-1396,83.99,125.985
55,55,00-350-1396,225,337.5
56,56,00-350-1396,133.17,199.755
57,57,00-350-1396,210,315
58,58,00-350-1396,44.57,66.855
59,59,00-350-1396,220,330
60,60,00-350-1396,101.6,152.4
61,61,00-350-1396,235,352.5
62,62,00-350-1396,124.62,186.93
63,63,00-350-1396,119.8,179.7
64,64,00-451-8857,225,337.5
65,65,00-451-8857,133.17,199.755
66,66,00-451-8857,210,315
67,67,00-451-8857,44.57,66.855
68,68,00-451-8857,220,330
69,69,00-451-8857,101.6,152.4
70,70,00-451-8857,235,352.5
71,71,00-451-8857,124.62,186.93
72,72,00-451-8857,119.8,179.7
73,73,00-451-8857,98,147
74,74,00-451-8857,83.99,125.985
75,75,00-451-8857,225,337.5
76,76,00-451-8857,133.17,199.755
77,77,00-451-8857,210,315
78,78,00-451-8857,44.57,66.855
79,79,00-451-8857,220,330
80,80,00-451-8857,101.6,152.4
81,81,00-451-8857,235,352.5
82,82,00-451-8857,124.62,186.93
83,83,00-451-8857,119.8,179.7
84,84,00-451-8857,98,147
85,85,00-465-7031,310,465
86,86,00-465-7031,52.08,78.12
87,87,00-465-7031,310,465
88,88,00-465-7031,91.84,137.76
89,89,00-465-7031,320,480
90,90,00-465-7031,93.13,139.695
91,91,00-465-7031,75,112.5
92,92,00-465-7031,144.09,216.135
93,93,00-465-7031,125,187.5
94,94,00-465-7031,168.27,252.405
95,95,00-465-7031,69.38,104.07
96,96,00-465-7031,190,285
97,97,00-465-7031,52.08,78.12
98,98,00-465-7031,310,465
99,99,00-465-7031,91.84,137.76
100,100,00-465-7031,320,480
101,101,00-465-7031,93.13,139.695
102,102,00-465-7031,75,112.5
103,103,00-465-7031,144.09,216.135
104,104,00-465-7031,125,187.5
105,105,00-465-7031,168.27,252.405
106,106,00-618-9205,83.99,125.985
107,107,00-618-9205,225,337.5
108,108,00-618-9205,133.17,199.755
109,109,00-618-9205,210,315
110,110,00-618-9205,44.57,66.855
111,111,00-618-9205,220,330
112,112,00-618-9205,101.6,152.4
113,113,00-618-9205,235,352.5
114,114,00-618-9205,124.62,186.93
115,115,00-618-9205,119.8,179.7
116,116,00-618-9205,98,147
117,117,00-618-9205,83.99,125.985
118,118,00-618-9205,225,337.5
119,119,00-618-9205,133.17,199.755
120,120,00-618-9205,210,315
121,121,00-618-9205,44.57,66.855
122,122,00-618-9205,220,330
123,123,00-618-9205,101.6,152.4
124,124,00-618-9205,235,352.5
125,125,00-618-9205,124.62,186.93
126,126,00-618-9205,119.8,179.7
127,127,00-669-6040,190,285
128,128,00-669-6040,52.08,78.12
129,129,00-669-6040,310,465
130,130,00-669-6040,91.84,137.76
131,131,00-669-6040,320,480
132,132,00-669-6040,93.13,139.695
133,133,00-669-6040,75,112.5
134,134,00-669-6040,144.09,216.135
135,135,00-669-6040,125,187.5
136,136,00-669-6040,168.27,252.405
137,137,00-669-6040,69.38,104.07
138,138,00-669-6040,190,285
139,139,00-669-6040,52.08,78.12
140,140,00-669-6040,310,465
141,141,00-669-6040,91.84,137.76
142,142,00-669-6040,320,480
143,143,00-669-6040,93.13,139.695
144,144,00-669-6040,75,112.5
145,145,00-669-6040,144.09,216.135
146,146,00-669-6040,125,187.5
147,147,00-669-6040,168.27,252.405
148,148,00-799-3091,101.6,152.4
149,149,00-799-3091,235,352.5
150,150,00-799-3091,124.62,186.93
151,151,00-799-3091,119.8,179.7
152,152,00-799-3091,98,147
153,153,00-799-3091,83.99,125.985
154,154,00-799-3091,225,337.5
155,155,00-799-3091,133.17,199.755
156,156,00-799-3091,210,315
157,157,00-799-3091,44.57,66.855
158,158,00-799-3091,220,330
159,159,00-799-3091,101.6,152.4
160,160,00-799-3091,235,352.5
161,161,00-799-3091,124.62,186.93
162,162,00-799-3091,119.8,179.7
163,163,00-799-3091,98,147
164,164,00-799-3091,83.99,125.985
165,165,00-799-3091,225,337.5
166,166,00-799-3091,133.17,199.755
167,167,00-799-3091,210,315
168,168,00-799-3091,44.57,66.855
169,169,00-822-8333,133.17,199.755
170,170,00-822-8333,210,315
171,171,00-822-8333,44.57,66.855
172,172,00-822-8333,220,330
173,173,00-822-8333,101.6,152.4
174,174,00-822-8333,235,352.5
175,175,00-822-8333,124.62,186.93
176,176,00-822-8333,119.8,179.7
177,177,00-822-8333,98,147
178,178,00-822-8333,83.99,125.985
179,179,00-822-8333,225,337.5
180,180,00-822-8333,133.17,199.755
181,181,00-822-8333,210,315
182,182,00-822-8333,44.57,66.855
183,183,00-822-8333,220,330
184,184,00-822-8333,101.6,152.4
185,185,00-822-8333,235,352.5
186,186,00-822-8333,124.62,186.93
187,187,00-822-8333,119.8,179.7
188,188,00-822-8333,98,147
189,189,00-822-8333,83.99,125.985
190,190,00-965-9450,168.27,252.405
191,191,00-965-9450,69.38,104.07
192,192,00-965-9450,190,285
193,193,00-965-9450,52.08,78.12
194,194,00-965-9450,310,465
195,195,00-965-9450,91.84,137.76
196,196,00-965-9450,320,480
197,197,00-965-9450,93.13,139.695
198,198,00-965-9450,75,112.5
199,199,00-965-9450,144.09,216.135
200,200,00-965-9450,125,187.5
201,201,00-965-9450,168.27,252.405
202,202,00-965-9450,69.38,104.07
203,203,00-965-9450,190,285
204,204,00-965-9450,52.08,78.12
205,205,00-965-9450,310,465
206,206,00-965-9450,91.84,137.76
207,207,00-965-9450,320,480
208,208,00-965-9450,93.13,139.695
209,209,00-965-9450,75,112.5
210,210,00-965-9450,144.09,216.135
211,211,01-062-3384,44.57,66.855
212,212,01-062-3384,220,330
213,213,01-062-3384,101.6,152.4
214,214,01-062-3384,235,352.5
215,215,01-062-3384,124.62,186.93
216,216,01-062-3384,119.8,179.7
217,217,01-062-3384,98,147
218,218,01-062-3384,83.99,125.985
219,219,01-062-3384,225,337.5
220,220,01-062-3384,133.17,199.755
221,221,01-062-3384,210,315
222,222,01-062-3384,44.57,66.855
223,223,01-062-3384,220,330
224,224,01-062-3384,101.6,152.4
225,225,01-062-3384,235,352.5
226,226,01-062-3384,124.62,186.93
227,227,01-062-3384,119.8,179.7
228,228,01-062-3384,98,147
229,229,01-062-3384,83.99,125.985
230,230,01-062-3384,225,337.5
231,231,01-062-3384,133.17,199.755
232,232,01-423-8434,75,112.5
233,233,01-423-8434,144.09,216.135
234,234,01-423-8434,125,187.5
235,235,01-423-8434,168.27,252.405
236,236,01-423-8434,69.38,104.07
237,237,01-423-8434,190,285
238,238,01-423-8434,52.08,78.12
239,239,01-423-8434,310,465
240,240,01-423-8434,91.84,137.76
241,241,01-423-8434,320,480
242,242,01-423-8434,93.13,139.695
243,243,01-423-8434,75,112.5
244,244,01-423-8434,144.09,216.135
245,245,01-423-8434,125,187.5
246,246,01-423-8434,168.27,252.405
247,247,01-423-8434,69.38,104.07
248,248,01-423-8434,190,285
249,249,01-423-8434,52.08,78.12
250,250,01-423-8434,310,465
251,251,01-423-8434,91.84,137.76
252,252,01-423-8434,320,480
253,253,01-715-3869,91.84,137.76
254,254,01-715-3869,320,480
255,255,01-715-3869,93.13,139.695
256,256,01-715-3869,75,112.5
257,257,01-715-3869,144.09,216.135
258,258,01-715-3869,125,187.5
259,259,01-715-3869,168.27,252.405
260,260,01-715-3869,69.38,104.07
261,261,01-715-3869,190,285
262,262,01-715-3869,52.08,78.12
263,263,01-715-3869,310,465
264,264,01-715-3869,91.84,137.76
265,265,01-715-3869,320,480
266,266,01-715-3869,93.13,139.695
267,267,01-715-3869,75,112.5
268,268,01-715-3869,144.09,216.135
269,269,01-715-3869,125,187.5
270,270,01-715-3869,168.27,252.405
271,271,01-715-3869,69.38,104.07
272,272,01-715-3869,190,285
273,273,01-715-3869,52.08,78.12
274,274,01-733-5889,83.99,125.985
275,275,01-733-5889,225,337.5
276,276,01-733-5889,133.17,199.755
277,277,01-733-5889,210,315
278,278,01-733-5889,44.57,66.855
279,279,01-733-5889,220,330
280,280,01-733-5889,101.6,152.4
281,281,01-733-5889,235,352.5
282,282,01-733-5889,124.62,186.93
283,283,01-733-5889,119.8,179.7
284,284,01-733-5889,98,147
285,285,01-733-5889,83.99,125.985
286,286,01-733-5889,225,337.5
287,287,01-733-5889,133.17,199.755
288,288,01-733-5889,210,315
289,289,01-733-5889,44.57,66.855
290,290,01-733-5889,220,330
291,291,01-733-5889,101.6,152.4
292,292,01-733-5889,235,352.5
293,293,01-733-5889,124.62,186.93
294,294,01-733-5889,119.8,179.7
295,295,01-754-7255,190,285
296,296,01-754-7255,52.08,78.12
297,297,01-754-7255,310,465
298,298,01-754-7255,91.84,137.76
299,299,01-754-7255,320,480
300,300,01-754-7255,93.13,139.695
301,301,01-754-7255,75,112.5
302,302,01-754-7255,144.09,216.135
303,303,01-754-7255,125,187.5
304,304,01-754-7255,168.27,252.405
305,305,01-754-7255,69.38,104.07
306,306,01-754-7255,190,285
307,307,01-754-7255,52.08,78.12
308,308,01-754-7255,310,465
309,309,01-754-7255,91.84,137.76
310,310,01-754-7255,320,480
311,311,01-754-7255,93.13,139.695
312,312,01-754-7255,75,112.5
313,313,01-754-7255,144.09,216.135
314,314,01-754-7255,125,187.5
315,315,01-754-7255,168.27,252.405
316,316,01-855-8188,320,480
317,317,01-855-8188,93.13,139.695
318,318,01-855-8188,75,112.5
319,319,01-855-8188,144.09,216.135
320,320,01-855-8188,125,187.5
321,321,01-855-8188,168.27,252.405
322,322,01-855-8188,69.38,104.07
323,323,01-855-8188,190,285
324,324,01-855-8188,52.08,78.12
325,325,01-855-8188,310,465
326,326,01-855-8188,91.84,137.76
327,327,01-855-8188,320,480
328,328,01-855-8188,93.13,139.695
329,329,01-855-8188,75,112.5
330,330,01-855-8188,144.09,216.135
331,331,01-855-8188,125,187.5
332,332,01-855-8188,168.27,252.405
333,333,01-855-8188,69.38,104.07
334,334,01-855-8188,190,285
335,335,01-855-8188,52.08,78.12
336,336,01-855-8188,310,465
337,337,01-877-6020,52.08,78.12
338,338,01-877-6020,310,465
339,339,01-877-6020,91.84,137.76
340,340,01-877-6020,320,480
341,341,01-877-6020,93.13,139.695
342,342,01-877-6020,75,112.5
343,343,01-877-6020,144.09,216.135
344,344,01-877-6020,125,187.5
345,345,01-877-6020,168.27,252.405
346,346,01-877-6020,69.38,104.07
347,347,01-877-6020,190,285
348,348,01-877-6020,52.08,78.12
349,349,01-877-6020,310,465
350,350,01-877-6020,91.84,137.76
351,351,01-877-6020,320,480
352,352,01-877-6020,93.13,139.695
353,353,01-877-6020,75,112.5
354,354,01-877-6020,144.09,216.135
355,355,01-877-6020,125,187.5
356,356,01-877-6020,168.27,252.405
357,357,01-877-6020,69.38,104.07
358,358,01-879-8004,235,352.5
359,359,01-879-8004,124.62,186.93
360,360,01-879-8004,119.8,179.7
361,361,01-879-8004,98,147
362,362,01-879-8004,83.99,125.985
363,363,01-879-8004,225,337.5
364,364,01-879-8004,133.17,199.755
365,365,01-879-8004,210,315
366,366,01-879-8004,44.57,66.855
367,367,01-879-8004,220,330
368,368,01-879-8004,101.6,152.4
369,369,01-879-8004,235,352.5
370,370,01-879-8004,124.62,186.93
371,371,01-879-8004,119.8,179.7
372,372,01-879-8004,98,147
373,373,01-879-8004,83.99,125.985
374,374,01-879-8004,225,337.5
375,375,01-879-8004,133.17,199.755
376,376,01-879-8004,210,315
377,377,01-879-8004,44.57,66.855
378,378,01-879-8004,220,330
379,379,01-975-7149,225,337.5
380,380,01-975-7149,83.99,125.985
381,381,01-975-7149,225,337.5
382,382,01-975-7149,133.17,199.755
383,383,01-975-7149,210,315
384,384,01-975-7149,44.57,66.855
385,385,01-975-7149,220,330
386,386,01-975-7149,101.6,152.4
387,387,01-975-7149,235,352.5
388,388,01-975-7149,124.62,186.93
389,389,01-975-7149,119.8,179.7
390,390,01-975-7149,98,147
391,391,01-975-7149,83.99,125.985
392,392,01-975-7149,225,337.5
393,393,01-975-7149,133.17,199.755
394,394,01-975-7149,210,315
395,395,01-975-7149,44.57,66.855
396,396,01-975-7149,220,330
397,397,01-975-7149,101.6,152.4
398,398,01-975-7149,235,352.5
399,399,01-975-7149,124.62,186.93
400,400,01-981-5069,75,112.5
401,401,01-981-5069,144.09,216.135
402,402,01-981-5069,125,187.5
403,403,01-981-5069,168.27,252.405
404,404,01-981-5069,69.38,104.07
405,405,01-981-5069,190,285
406,406,01-981-5069,52.08,78.12
407,407,01-981-5069,310,465
408,408,01-981-5069,91.84,137.76
409,409,01-981-5069,320,480
410,410,01-981-5069,93.13,139.695
411,411,01-981-5069,75,112.5
412,412,01-981-5069,144.09,216.135
413,413,01-981-5069,125,187.5
414,414,01-981-5069,168.27,252.405
415,415,01-981-5069,69.38,104.07
416,416,01-981-5069,190,285
417,417,01-981-5069,52.08,78.12
418,418,01-981-5069,310,465
419,419,01-981-5069,91.84,137.76
420,420,01-981-5069,320,480
421,421,02-211-2785,52.08,78.12
422,422,02-211-2785,310,465
423,423,02-211-2785,91.84,137.76
424,424,02-211-2785,320,480
425,425,02-211-2785,93.13,139.695
426,426,02-211-2785,75,112.5
427,427,02-211-2785,144.09,216.135
428,428,02-211-2785,125,187.5
429,429,02-211-2785,168.27,252.405
430,430,02-211-2785,69.38,104.07
431,431,02-211-2785,190,285
432,432,02-211-2785,52.08,78.12
433,433,02-211-2785,310,465
434,434,02-211-2785,91.84,137.76
435,435,02-211-2785,320,480
436,436,02-211-2785,93.13,139.695
437,437,02-211-2785,75,112.5
438,438,02-211-2785,144.09,216.135
439,439,02-211-2785,125,187.5
440,440,02-211-2785,168.27,252.405
441,441,02-211-2785,69.38,104.07
442,442,02-266-1313,125,187.5
443,443,02-266-1313,168.27,252.405
444,444,02-266-1313,69.38,104.07
445,445,02-266-1313,190,285
446,446,02-266-1313,52.08,78.12
447,447,02-266-1313,310,465
448,448,02-266-1313,91.84,137.76
449,449,02-266-1313,320,480
450,450,02-266-1313,93.13,139.695
451,451,02-266-1313,75,112.5
452,452,02-266-1313,144.09,216.135
453,453,02-266-1313,125,187.5
454,454,02-266-1313,168.27,252.405
455,455,02-266-1313,69.38,104.07
456,456,02-266-1313,190,285
457,457,02-266-1313,52.08,78.12
458,458,02-266-1313,310,465
459,459,02-266-1313,91.84,137.76
460,460,02-266-1313,320,480
461,461,02-266-1313,93.13,139.695
462,462,02-266-1313,75,112.5
463,463,02-311-4674,124.62,186.93
464,464,02-311-4674,119.8,179.7
465,465,02-311-4674,98,147
466,466,02-311-4674,83.99,125.985
467,467,02-311-4674,225,337.5
468,468,02-311-4674,133.17,199.755
469,469,02-311-4674,210,315
470,470,02-311-4674,44.57,66.855
471,471,02-311-4674,220,330
472,472,02-311-4674,101.6,152.4
473,473,02-311-4674,235,352.5
474,474,02-311-4674,124.62,186.93
475,475,02-311-4674,119.8,179.7
476,476,02-311-4674,98,147
477,477,02-311-4674,83.99,125.985
478,478,02-311-4674,225,337.5
479,479,02-311-4674,133.17,199.755
480,480,02-311-4674,210,315
481,481,02-311-4674,44.57,66.855
482,482,02-311-4674,220,330
483,483,02-311-4674,101.6,152.4
484,484,02-569-3156,235,352.5
485,485,02-569-3156,124.62,186.93
486,486,02-569-3156,119.8,179.7
487,487,02-569-3156,98,147
488,488,02-569-3156,83.99,125.985
489,489,02-569-3156,225,337.5
490,490,02-569-3156,133.17,199.755
491,491,02-569-3156,210,315
492,492,02-569-3156,44.57,66.855
493,493,02-569-3156,220,330
494,494,02-569-3156,101.6,152.4
495,495,02-569-3156,235,352.5
496,496,02-569-3156,124.62,186.93
497,497,02-569-3156,119.8,179.7
498,498,02-569-3156,98,147
499,499,02-569-3156,83.99,125.985
500,500,02-569-3156,225,337.5
501,501,02-569-3156,133.17,199.755
502,502,02-569-3156,210,315
503,503,02-569-3156,44.57,66.855
504,504,02-569-3156,220,330
505,505,02-699-8406,310,465
506,506,02-699-8406,91.84,137.76
507,507,02-699-8406,320,480
508,508,02-699-8406,93.13,139.695
509,509,02-699-8406,75,112.5
510,510,02-699-8406,144.09,216.135
511,511,02-699-8406,125,187.5
512,512,02-699-8406,168.27,252.405
513,513,02-699-8406,69.38,104.07
514,514,02-699-8406,190,285
515,515,02-699-8406,52.08,78.12
516,516,02-699-8406,310,465
517,517,02-699-8406,91.84,137.76
518,518,02-699-8406,320,480
519,519,02-699-8406,93.13,139.695
520,520,02-699-8406,75,112.5
521,521,02-699-8406,144.09,216.135
522,522,02-699-8406,125,187.5
523,523,02-699-8406,168.27,252.405
524,524,02-699-8406,69.38,104.07
525,525,02-699-8406,190,285
526,526,02-715-2965,190,285
527,527,02-715-2965,52.08,78.12
528,528,02-715-2965,310,465
529,529,02-715-2965,91.84,137.76
530,530,02-715-2965,320,480
531,531,02-715-2965,93.13,139.695
532,532,02-715-2965,75,112.5
533,533,02-715-2965,144.09,216.135
534,534,02-715-2965,125,187.5
535,535,02-715-2965,168.27,252.405
536,536,02-715-2965,69.38,104.07
537,537,02-715-2965,190,285
538,538,02-715-2965,52.08,78.12
539,539,02-715-2965,310,465
540,540,02-715-2965,91.84,137.76
541,541,02-715-2965,320,480
542,542,02-715-2965,93.13,139.695
543,543,02-715-2965,75,112.5
544,544,02-715-2965,144.09,216.135
545,545,02-715-2965,125,187.5
546,546,02-715-2965,168.27,252.405
547,547,02-732-6800,144.09,216.135
548,548,02-732-6800,125,187.5
549,549,02-732-6800,168.27,252.405
550,550,02-732-6800,69.38,104.07
551,551,02-732-6800,190,285
552,552,02-732-6800,52.08,78.12
553,553,02-732-6800,310,465
554,554,02-732-6800,91.84,137.76
555,555,02-732-6800,320,480
556,556,02-732-6800,93.13,139.695
557,557,02-732-6800,75,112.5
558,558,02-732-6800,144.09,216.135
559,559,02-732-6800,125,187.5
560,560,02-732-6800,168.27,252.405
561,561,02-732-6800,69.38,104.07
562,562,02-732-6800,190,285
563,563,02-732-6800,52.08,78.12
564,564,02-732-6800,310,465
565,565,02-732-6800,91.84,137.76
566,566,02-732-6800,320,480
567,567,02-732-6800,93.13,139.695
568,568,02-938-1657,225,337.5
569,569,02-938-1657,133.17,199.755
570,570,02-938-1657,210,315
571,571,02-938-1657,44.57,66.855
572,572,02-938-1657,220,330
573,573,02-938-1657,101.6,152.4
574,574,02-938-1657,235,352.5
575,575,02-938-1657,124.62,186.93
576,576,02-938-1657,119.8,179.7
577,577,02-938-1657,98,147
578,578,02-938-1657,83.99,125.985
579,579,02-938-1657,225,337.5
580,580,02-938-1657,133.17,199.755
581,581,02-938-1657,210,315
582,582,02-938-1657,44.57,66.855
583,583,02-938-1657,220,330
584,584,02-938-1657,101.6,152.4
585,585,02-938-1657,235,352.5
586,586,02-938-1657,124.62,186.93
587,587,02-938-1657,119.8,179.7
588,588,02-938-1657,98,147
589,589,03-039-5845,310,465
590,590,03-039-5845,91.84,137.76
591,591,03-039-5845,320,480
592,592,03-039-5845,93.13,139.695
593,593,03-039-5845,75,112.5
594,594,03-039-5845,144.09,216.135
595,595,03-039-5845,125,187.5
596,596,03-039-5845,168.27,252.405
597,597,03-039-5845,69.38,104.07
598,598,03-039-5845,190,285
599,599,03-039-5845,52.08,78.12
600,600,03-039-5845,310,465
601,601,03-039-5845,91.84,137.76
602,602,03-039-5845,320,480
603,603,03-039-5845,93.13,139.695
604,604,03-039-5845,75,112.5
605,605,03-039-5845,144.09,216.135
606,606,03-039-5845,125,187.5
607,607,03-039-5845,168.27,252.405
608,608,03-039-5845,69.38,104.07
609,609,03-039-5845,190,285
610,610,03-132-2890,91.84,137.76
611,611,03-132-2890,320,480
612,612,03-132-2890,93.13,139.695
613,613,03-132-2890,75,112.5
614,614,03-132-2890,144.09,216.135
615,615,03-132-2890,125,187.5
616,616,03-132-2890,168.27,252.405
617,617,03-132-2890,69.38,104.07
618,618,03-132-2890,190,285
619,619,03-132-2890,52.08,78.12
620,620,03-132-2890,310,465
621,621,03-132-2890,91.84,137.76
622,622,03-132-2890,320,480
623,623,03-132-2890,93.13,139.695
624,624,03-132-2890,75,112.5
625,625,03-132-2890,144.09,216.135
626,626,03-132-2890,125,187.5
627,627,03-132-2890,168.27,252.405
628,628,03-132-2890,69.38,104.07
629,629,03-132-2890,190,285
630,630,03-132-2890,52.08,78.12
631,631,03-248-8148,220,330
632,632,03-248-8148,101.6,152.4
633,633,03-248-8148,235,352.5
634,634,03-248-8148,124.62,186.93
635,635,03-248-8148,119.8,179.7
636,636,03-248-8148,98,147
637,637,03-248-8148,83.99,125.985
638,638,03-248-8148,225,337.5
639,639,03-248-8148,133.17,199.755
640,640,03-248-8148,210,315
641,641,03-248-8148,44.57,66.855
642,642,03-248-8148,220,330
643,643,03-248-8148,101.6,152.4
644,644,03-248-8148,235,352.5
645,645,03-248-8148,124.62,186.93
646,646,03-248-8148,119.8,179.7
647,647,03-248-8148,98,147
648,648,03-248-8148,83.99,125.985
649,649,03-248-8148,225,337.5
650,650,03-248-8148,133.17,199.755
651,651,03-248-8148,210,315
652,652,03-297-4257,190,285
653,653,03-297-4257,52.08,78.12
654,654,03-297-4257,310,465
655,655,03-297-4257,91.84,137.76
656,656,03-297-4257,320,480
657,657,03-297-4257,93.13,139.695
658,658,03-297-4257,75,112.5
659,659,03-297-4257,144.09,216.135
660,660,03-297-4257,125,187.5
661,661,03-297-4257,168.27,252.405
662,662,03-297-4257,69.38,104.07
663,663,03-297-4257,190,285
664,664,03-297-4257,52.08,78.12
665,665,03-297-4257,310,465
666,666,03-297-4257,91.84,137.76
667,667,03-297-4257,320,480
668,668,03-297-4257,93.13,139.695
669,669,03-297-4257,75,112.5
670,670,03-297-4257,144.09,216.135
671,671,03-297-4257,125,187.5
672,672,03-297-4257,168.27,252.405
673,673,03-464-8128,220,330
674,674,03-464-8128,101.6,152.4
675,675,03-464-8128,235,352.5
676,676,03-464-8128,124.62,186.93
677,677,03-464-8128,119.8,179.7
678,678,03-464-8128,98,147
679,679,03-464-8128,83.99,125.985
680,680,03-464-8128,225,337.5
681,681,03-464-8128,133.17,199.755
682,682,03-464-8128,210,315
683,683,03-464-8128,44.57,66.855
684,684,03-464-8128,220,330
685,685,03-464-8128,101.6,152.4
686,686,03-464-8128,235,352.5
687,687,03-464-8128,124.62,186.93
688,688,03-464-8128,119.8,179.7
689,689,03-464-8128,98,147
690,690,03-464-8128,83.99,125.985
691,691,03-464-8128,225,337.5
692,692,03-464-8128,133.17,199.755
693,693,03-464-8128,210,315
694,694,03-555-7951,75,112.5
695,695,03-555-7951,144.09,216.135
